,regiao,estado,cidade,drones
0,Sudeste,ES,Colatina,36
1,Centro-Oeste,MT,Cuiabá,451
2,Centro-Oeste,DF,Brasília,2634
3,Sudeste,MG,Matozinhos,12
4,Sudeste,SP,São Paulo,9622
5,Sul,SC,Balneário Piçarras,15
6,Sul,SC,Florianópolis,849
7,Sul,PR,Ibiporã,8
8,Sudeste,SP,Araraquara,144
9,Nordeste,PE,Recife,913
10,Sul,SC,Lauro Müller,3
11,Sul,SC,Blumenau,295
12,Sudeste,MG,Sete Lagoas,88
13,Centro-Oeste,GO,Goiânia,899
14,Sul,RS,Bento Gonçalves,64
15,Sul,PR,Curitiba,1893
16,Sudeste,SP,Ribeirão Preto,463
17,Sudeste,SP,Santos,456
18,Sudeste,SP,Americana,201
19,Sudeste,RJ,Rio de Janeiro,5430
20,Nordeste,PB,João Pessoa,394
21,Nordeste,PI,Teresina,205
22,Sudeste,SP,Osasco,369
23,Nordeste,SE,Aracaju,615
24,Sudeste,SP,Barueri,303
25,Nordeste,BA,Salvador,1322
26,Sul,PR,Marechal Cândido Rondon,22
27,Sudeste,SP,Bertioga,38
28,Sul,RS,Bagé,28
29,Sul,SC,Capivari de Baixo,11
30,Sul,PR,Paranaguá,42
31,Nordeste,PE,Caruaru,76
32,Sudeste,MG,Prata,7
33,Sudeste,SP,Bebedouro,63
34,Sudeste,SP,Praia Grande,177
35,Sudeste,RJ,Resende,71
36,Sudeste,SP,Rio Claro,118
37,Sudeste,MG,Belo Horizonte,2206
38,Sudeste,MG,Viçosa,64
39,Sudeste,MG,Uberlândia,382
40,Sudeste,MG,Campo Florido,2
41,Nordeste,BA,Livramento de Nossa Senhora,5
42,Sudeste,SP,Campinas,878
43,Nordeste,BA,Mata de São João,10
44,Nordeste,BA,Feira de Santana,205
45,Sul,PR,Ponta Grossa,190
46,Sul,SC,Joinville,345
47,Norte,RO,Porto Velho,176
48,Nordeste,BA,Porto Seguro,52
49,Norte,PA,Belém,432
50,Nordeste,PB,Campina Grande,112
51,Sudeste,SP,Taubaté,160
52,Sul,RS,Porto Alegre,1117
53,Sudeste,SP,Bariri,9
54,Sudeste,SP,Mauá,130
55,Sudeste,SP,Lençóis Paulista,105
56,Nordeste,CE,Fortaleza,960
57,Centro-Oeste,MT,Primavera do Leste,42
58,Sul,PR,Maringá,243
59,Sudeste,SP,Sorocaba,391
60,Sudeste,SP,São Bernardo do Campo,621
61,Nordeste,AL,Igaci,1
62,Nordeste,PE,Araripina,15
63,Sudeste,SP,Capivari,21
64,Sudeste,SP,Indaiatuba,174
65,Sul,RS,Nova Prata,9
66,Nordeste,MA,São Luís,396
67,Sul,PR,Londrina,398
68,Sul,PR,Araucária,40
69,Sudeste,MG,Contagem,219
70,Nordeste,PE,Petrolina,99
71,Sudeste,RJ,Rio das Ostras,93
72,Sul,PR,Foz do Iguaçu,185
73,Sudeste,SP,São Caetano do Sul,283
74,Centro-Oeste,GO,Luziânia,29
75,Norte,AM,Manaus,772
76,Centro-Oeste,MS,Campo Grande,600
77,Sul,RS,Lagoa dos Três Cantos,1
78,Norte,RR,Boa Vista,173
79,Centro-Oeste,GO,Aparecida de Goiânia,123
80,Sul,SC,Garopaba,27
81,Sudeste,RJ,Niterói,578
82,Sudeste,SP,Novo Horizonte,9
83,Sudeste,SP,Jundiaí,411
84,Nordeste,BA,Teixeira de Freitas,35
85,Sudeste,RJ,Queimados,25
86,Nordeste,BA,Caetité,15
87,Sudeste,MG,Itajubá,53
88,Sudeste,SP,Sumaré,101
